"method","currency","gross","fee","net amount","timestamp","datetime"
"SPEI","mxn","","","100","1654451869","06/05/2022 12:57:49"
"SPEI","mxn","","","500","1652308587","05/11/2022 17:36:27"
"SPEI","mxn","","","189","1652244229","05/10/2022 23:43:49"
"SPEI","mxn","","","1200","1649266001","04/06/2022 12:26:41"
"SPEI","mxn","","","250","1646671694","03/07/2022 10:48:14"
"SPEI","mxn","","","300","1645729054","02/24/2022 12:57:34"
"SPEI","mxn","","","25","1644713356","02/12/2022 18:49:16"
"SPEI","mxn","","","20","1644617284","02/11/2022 16:08:04"
"SPEI","mxn","","","50","1644000724","02/04/2022 12:52:04"
"SPEI","mxn","","","20","1643908364","02/03/2022 11:12:44"
"SPEI","mxn","","","40","1643825926","02/02/2022 12:18:46"
"SPEI","mxn","","","250","1643033254","01/24/2022 08:07:34"
"SPEI","mxn","","","340","1642786733","01/21/2022 11:38:53"
"SPEI","mxn","","","500","1642288098","01/15/2022 17:08:18"
"SPEI","mxn","","","350","1641919908","01/11/2022 10:51:48"
"SPEI","mxn","","","25","1641851680","01/10/2022 15:54:40"
"SPEI","mxn","","","300","1641516411","01/06/2022 18:46:51"
"SPEI","mxn","","","400","1641262816","01/03/2022 20:20:16"
"SPEI","mxn","","","200","1640028832","12/20/2021 13:33:52"
"Bitcoin","btc","0.00205309","0","0.00205309","1639434254","12/13/2021 16:24:14"
"SPEI","mxn","","","2000","1638496195","12/02/2021 19:49:55"
"SPEI","mxn","","","600","1638464003","12/02/2021 10:53:23"
"SPEI","mxn","","","550","1638123268","11/28/2021 12:14:28"
"SPEI","mxn","","","450","1637703172","11/23/2021 15:32:52"
"SPEI","mxn","","","700","1637334602","11/19/2021 09:10:02"
"SPEI","mxn","","","500","1637159659","11/17/2021 08:34:19"
"Bitcoin Cash","bch","","","0.00300000","1584236824","03/14/2020 19:47:04"
"Bitcoin","btc","","","0.00010000","1584236712","03/14/2020 19:45:12"
"Bitcoin Cash","bch","","","0.00286941","1584164767","03/13/2020 23:46:07"
